Month,fecha,Cost,Trend,serie sin trend,mes,estacionalidad,residual,,
1991 jul.,01/07/1991,0.429795,,,,,,1,0.218185463
1991 ago.,01/08/1991,0.400906,,,,,,2,-0.261100488
1991 sep.,01/09/1991,0.432159,,,,,,3,-0.185860893
1991 oct.,01/10/1991,0.492543,,,,,,4,-0.204138036
1991 nov.,01/11/1991,0.502369,,,,,,5,-0.140391539
1991 dic.,01/12/1991,0.602652,,,,,,6,-0.099265684
1992 ene.,01/01/1992,0.660119,,,,,,7,-0.007362959
1992 feb.,01/02/1992,0.33622,,,,,,8,0.039088256
1992 mar.,01/03/1992,0.351348,,,,,,9,0.085975912
1992 abr.,01/04/1992,0.379808,,,,,,10,0.135904285
1992 may.,01/05/1992,0.361801,,,,,,11,0.147941387
1992 jun.,01/06/1992,0.410534,0.486871465,-0.076337465,6,-0.099265684,0.022928219,12,0.256721032
1992 jul.,01/07/1992,0.48338867,0.488625005,-0.005236335,7,-0.007362959,0.002126625,,
1992 ago.,01/08/1992,0.47546342,0.493333861,-0.017870441,8,0.039088256,-0.056958696,,
1992 sep.,01/09/1992,0.53476104,0.49882447,0.03593657,9,0.085975912,-0.050039342,,
1992 oct.,01/10/1992,0.56860613,0.503562342,0.065043788,10,0.135904285,-0.070860497,,
1992 nov.,01/11/1992,0.59522329,0.50923965,0.08598364,11,0.147941387,-0.061957747,,
1992 dic.,01/12/1992,0.77125778,0.513455015,0.257802765,12,0.256721032,0.001081733,,
1993 ene.,01/01/1993,0.7515028,0.526627255,0.224875545,1,0.218185463,0.006690082,,
1993 feb.,01/02/1993,0.38755434,0.547631835,-0.160077495,2,-0.261100488,0.101022993,,
1993 mar.,01/03/1993,0.42728322,0.551384957,-0.124101737,3,-0.185860893,0.061759156,,
1993 abr.,01/04/1993,0.41389018,0.556876838,-0.142986658,4,-0.204138036,0.061151378,,
1993 may.,01/05/1993,0.42885882,0.561602497,-0.132743677,5,-0.140391539,0.007647861,,
1993 jun.,01/06/1993,0.47012642,0.565957378,-0.095830958,6,-0.099265684,0.003434726,,
1993 jul.,01/07/1993,0.50920969,0.568441079,-0.059231389,7,-0.007362959,-0.05186843,,
1993 ago.,01/08/1993,0.558443,0.572034797,-0.013591797,8,0.039088256,-0.052680052,,
1993 sep.,01/09/1993,0.60151406,0.578038754,0.023475306,9,0.085975912,-0.062500606,,
1993 oct.,01/10/1993,0.6329471,0.583138373,0.049808727,10,0.135904285,-0.086095559,,
1993 nov.,01/11/1993,0.69960539,0.587245708,0.112359682,11,0.147941387,-0.035581705,,
